GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?"
GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?
GB025,What is the order of adnominal demonstrative and noun?
GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB030,Is there a gender distinction in independent 3rd person pronouns?
GB028,Is there a distinction between inclusive and exclusive?
GB023,Are there postnominal articles?
GB020,Are there definite or specific articles?
GB035,Are there three or more distance contrasts in demonstratives?
GB036,Do demonstratives show an elevation distinction?
GB147,Is there a morphological passive marked on the lexical verb?
GB083,Is there overt morphological marking on the verb dedicated to past tense?
GB084,Is there overt morphological marking on the verb dedicated to future tense?
GB043,Is there productive morphological dual marking on nouns?
GB044,Is there productive morphological plural marking on nouns?
GB117,Is there a copula for predicate nominals?
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?
GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?
GB155,Are causatives formed by affixes or clitics on verbs?
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB042,Is there productive overt morphological singular marking on nouns?
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?
GB021,Do indefinite nominals commonly have indefinite articles?
GB022,Are there prenominal articles?
GB057,Are there numeral classifiers?
GB158,Are verbs reduplicated?
GB024,What is the order of numeral and noun in the NP?
GB038,Are there demonstrative classifiers?
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB105,Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB135,Do clausal objects usually occur in the same position as nominal objects?
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?
GB074,Are there prepositions?
GB082,Is there overt morphological marking of present tense on verbs?
GB037,Do demonstratives show a visible-nonvisible distinction?
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB115,Is there a phonologically bound reciprocal marker on the verb?
GB114,Is there a phonologically bound reflexive marker on the verb?
GB104,Is there an instrumental applicative marker on the verb (including indexing)?
GB148,Is there a morphological antipassive marked on the lexical verb?
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"
GB109,Is there verb suppletion for participant number?
GB137,Can standard negation be marked clause-finally?
GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?
GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?
GB052,Is there a gender/noun class system where shape is a factor in class assignment?
GB075,Are there postpositions?
GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?
GB108,Is there directional or locative morphological marking on verbs?
GB081,Is there productive infixation in verbs?
GB058,Are there possessive classifiers?
GB122,Is verb compounding a regular process?
GB054,Is there a gender/noun class system where plant status is a factor in class assignment?
GB051,Is there a gender/noun class system where sex is a factor in class assignment?
GB110,Is there verb suppletion for tense or aspect?
GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?
GB134,Is the order of constituents the same in main and subordinate clauses?
GB129,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?"
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?
GB150,Is there clause chaining?
GB080,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?"
GB151,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"
GB103,Is there a benefactive applicative marker on the verb (including indexing)?
GB138,Can standard negation be marked clause-initially?
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?"
GB073,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?"
GB149,Is there a morphologically marked inverse on verbs?
GB159,Are nouns reduplicated?
GB095,Are variations in marking strategies of core participants based on TAM distinctions?
GB098,Are variations in marking strategies of core participants based on person distinctions?
GB039,Is there nonphonological allomorphy of noun number markers?
GB096,Are variations in marking strategies of core participants based on verb classes?
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?
GB136,Is the order of core argument (i.e. S/A/P) constituents fixed?
GB126,Is there an existential verb?
