GB107,"¿Puede la negación estándar marcarse mediante un afijo, clítico o modificación del verbo?"
GB133,¿El orden de constituyentes pragmáticamente no marcado es de verbo final para cláusulas transitivas?
GB025,¿Cuál es el orden del demostrativo adnominal y el sustantivo?
GB065,¿Cuál es el orden pragmáticamente no marcado del sustantivo poseedor adnominal y el sustantivo poseído?
GB093,¿Puede el argumento P ser indexado por un sufijo/enclítico en el verbo en la cláusula principal simple?
GB094,¿Puede el argumento P ser indexado por un prefijo/proclítico en el verbo en la cláusula principal simple?
GB030,¿Existe una distinción de género en los pronombres independientes de 3.ª persona?
GB028,¿Existe una distinción entre inclusivo y exclusivo?
GB023,¿Existen artículos posnominales?
GB020,¿Existen artículos definidos o específicos?
GB035,¿Existen tres o más contrastes de distancia en los demostrativos?
GB036,¿Los demostrativos muestran una distinción de elevación?
GB147,¿Existe una pasiva morfológica marcada en el verbo léxico?
GB083,¿Existe marcación morfológica explícita en el verbo dedicada al tiempo pasado?
GB084,¿Existe marcación morfológica explícita en el verbo dedicada al tiempo futuro?
GB043,¿Existe marcación morfológica dual productiva en los sustantivos?
GB044,¿Existe marcación morfológica plural productiva en los sustantivos?
GB117,¿Existe una cópula para los predicados nominales?
GB130,¿Cuál es el orden pragmáticamente no marcado de S y V en cláusulas intransitivas?
GB139,¿Existe una diferencia entre las construcciones de negación imperativa (prohibitiva) y declarativa?
GB132,¿El orden de constituyentes pragmáticamente no marcado es de verbo medial para cláusulas transitivas?
GB155,¿Los causativos se forman mediante afijos o clíticos en los verbos?
GB031,¿Existe una forma dual o de aumentativo unitario (además del plural o aumentativo) para todas las categorías de persona en el sistema pronominal?
GB042,¿Existe marcación morfológica singular productiva y explícita en los sustantivos?
GB131,¿El orden de constituyentes pragmáticamente no marcado es de verbo inicial para cláusulas transitivas?
GB021,¿Los sintagmas nominales indefinidos suelen tener artículos indefinidos?
GB022,¿Existen artículos prenominales?
GB057,¿Existen clasificadores numerales?
GB158,¿Se reduplican los verbos?
GB024,¿Cuál es el orden del numeral y el sustantivo en el sintagma nominal?
GB038,¿Existen clasificadores demostrativos?
