estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.34098392724990845,52.0,
p99,0.13936659112572683,71.0,0.2317987084388733,43.0,0.09243211731314646
p95,0.08828052878379822,40.0,0.14327079206705082,44.0,0.0549902632832526
p90,0.060057319700717926,40.0,0.10568059980869293,44.0,0.045623280107975006
q3,0.027266353368759155,40.0,0.0581559631973505,59.0,0.030889609828591347
median,-0.0038364321226254106,40.0,0.01932748220860958,60.0,0.02316391433123499
q1,-0.029365142807364464,56.0,-0.011052393354475498,60.0,0.018312749452888966
p5,-0.06180833280086517,65.0,-0.038244746252894396,32.0,0.023563586547970777
p1,-0.07797006517648697,70.0,-0.05306067317724228,33.0,0.02490939199924469
min,-0.11453575640916824,84.0,,,
mean,0.003867523279041052,40.0,0.027324046939611435,59.0,0.023456523660570383
std,0.043565671890974045,40.0,0.059705860912799835,43.0,0.01614018902182579
