estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.2433454692363739,84.0,
p99,0.06354964770376688,32.0,0.11185006767511409,73.0,0.04830041997134721
p95,0.03725418820977211,32.0,0.06895244531333444,55.0,0.03169825710356233
p90,0.020509083196520818,32.0,0.05129171535372734,83.0,0.030782632157206523
q3,0.00499325105920434,32.0,0.023473959416151047,83.0,0.018480708356946707
median,-0.014181969687342644,30.0,-0.0012707762653008103,83.0,0.012911193422041833
q1,-0.033288655802607536,61.0,-0.020871649496257305,35.0,0.012417006306350231
p5,-0.052114568650722504,54.0,-0.04178909957408905,38.0,0.010325469076633453
p1,-0.06265701353549957,61.0,-0.05332035943865776,34.0,0.009336654096841812
min,-0.08720327913761139,72.0,,,
mean,-0.011517457664012909,32.0,0.0030070911161601543,83.0,0.014524548780173063
std,0.026364484801888466,32.0,0.03548242896795273,55.0,0.009117944166064262
