,feature,languages count
16,GB107,38
4,GB133,38
23,GB025,38
9,GB065,38
13,GB093,38
14,GB094,38
0,GB030,37
1,GB028,37
34,GB023,37
37,GB020,37
39,GB035,37
40,GB036,37
88,GB147,37
19,GB083,37
18,GB084,37
17,GB043,37
15,GB044,37
74,GB117,37
10,GB130,37
70,GB139,37
7,GB132,37
65,GB155,37
5,GB031,37
3,GB042,37
2,GB131,37
30,GB021,37
32,GB022,36
42,GB057,36
96,GB158,36
36,GB024,36
35,GB038,36
144,GB047,36
101,GB105,36
150,GB135,36
6,GB092,36
8,GB090,36
11,GB089,36
12,GB091,36
155,GB049,36
20,GB074,36
24,GB082,36
52,GB037,36
143,GB048,36
53,GB086,36
103,GB113,35
82,GB115,35
81,GB114,35
79,GB104,35
110,GB148,35
105,GB069,35
97,GB109,35
29,GB137,35
28,GB072,35
22,GB070,35
27,GB052,35
46,GB075,35
26,GB071,35
57,GB108,34
47,GB081,34
25,GB058,34
147,GB122,34
38,GB054,34
33,GB051,34
98,GB110,34
135,GB152,34
126,GB134,34
58,GB129,34
73,GB059,34
160,GB150,34
21,GB080,34
114,GB151,34
66,GB103,34
31,GB138,33
91,GB116,33
59,GB073,33
86,GB068,33
83,GB149,33
136,GB159,33
69,GB095,33
64,GB098,33
48,GB039,33
67,GB096,33
142,GB124,33
72,GB136,33
113,GB126,32
112,GB156,32
99,GB119,32
60,GB111,32
116,GB027,32
87,GB121,32
41,GB053,32
133,GB160,32
95,GB120,31
153,GB140,31
89,GB099,31
43,GB197,31
44,GB079,31
45,GB196,31
56,GB193,31
50,GB170,31
49,GB171,31
127,GB041,30
124,GB260,30
51,GB165,30
145,GB257,30
171,GB146,30
61,GB192,30
54,GB166,30
94,GB184,29
120,GB026,29
63,GB198,29
55,GB172,29
122,GB264,29
137,GB305,28
132,GB285,28
131,GB327,28
152,GB328,28
154,GB118,28
165,GB323,28
123,GB263,28
118,GB286,28
117,GB262,28
115,GB334,28
62,GB299,28
85,GB185,28
134,GB291,27
102,GB433,27
146,GB297,27
80,GB186,27
151,GB167,27
93,GB309,27
78,GB317,27
77,GB320,27
76,GB316,27
75,GB319,27
100,GB177,27
84,GB321,27
71,GB298,27
107,GB432,27
68,GB318,27
129,GB333,27
109,GB324,27
111,GB314,27
159,GB303,26
148,GB302,26
166,GB329,26
167,GB322,26
119,GB408,26
157,GB306,26
104,GB431,26
106,GB430,26
90,GB313,26
130,GB415,26
108,GB315,26
125,GB326,26
92,GB312,26
180,GB276,25
170,GB331,25
184,GB266,25
161,GB250,25
178,GB275,25
163,GB046,25
175,GB304,25
140,GB335,25
169,GB330,25
182,GB265,24
181,GB300,24
190,GB204,24
185,GB273,24
188,GB301,24
121,GB409,24
128,GB410,24
139,GB336,24
156,GB203,24
158,GB522,23
186,GB270,23
164,GB187,23
183,GB123,23
187,GB403,22
138,GB521,22
189,GB402,22
168,GB254,22
191,GB422,22
192,GB421,22
173,GB252,22
162,GB400,21
141,GB520,21
174,GB253,21
149,GB519,21
172,GB256,20
179,GB127,20
177,GB188,20
176,GB325,20
193,GB296,16
194,GB401,14
